docid	title	date_year	decade	recipient	recipient_id	recipient_short	recipient_gender	recipient_type	n_words
BC_1750_EMONTAGU_LB_2	Letter from Elizabeth Montagu to Lydia Catherina Brydges, the Duchess of Chandos	1750	1740	Lydia Catherine Brydges née Vanhatten, 3rd Duchess of Chandos	#LB	Lydia Catherine Brydges née Vanhatten	female	acquaintances	455
BC_1766_EMONTAGU_EV_3	Letter from Elizabeth Montagu to Elizabeth Vesey	1766	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	358
BC_1758_EMONTAGU_ED_2	Letter from Elizabeth Montagu to Edward Montagu	1758	1750	Edward Montagu, Esq.	#ED	Edward Montagu	male	nuclear family	380
BC_1750_EMONTAGU_SS_1	Letter from Elizabeth Montagu to Sarah Robinson	1750	1740	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	880
BC_1743_EMONTAGU_ED	Letter from Elizabeth Montagu to Edward Montagu	1743	1740	Edward Montagu, Esq.	#ED	Edward Montagu	male	nuclear family	488
BC_1760_EMONTAGU_WP_3	Letter from Elizabeth Montagu to Lord Bath	1760	1750	William Pulteney, 1st Earl of Bath	#WP	William Pulteney	male	friends	212
BC_1761_EMONTAGU_WP_1	Letter from Elizabeth Montagu to William Pulteney, Earl of Bath	1761	1760	William Pulteney, 1st Earl of Bath	#WP	William Pulteney	male	friends	166
BC_1767_EMONTAGU_EV	Letter from Elizabeth Montagu to Elizabeth Vesey	1767	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	637
BC_1768_EMONTAGU_ED_2	Letter from Elizabeth Montagu to Edward Montagu	1768	1760	Edward Montagu, Esq.	#ED	Edward Montagu	male	nuclear family	455
BC_1764_EMONTAGU_CL	Letter from Elizabeth Montagu to Charles Lyttelton	1764	1760	Charles Lyttelton, Bishop of Carlisle	#CL	Charles Lyttelton	male	acquaintances	1293
BC_1738_EMONTAGU_MB_2	Letter from Elizabeth Robinson to the Duchess of Portland	1738	1730	Margaret Cavendish Bentinck née Harley, 2nd Duchess of Portland	#MB	Margaret Cavendish Bentinck née Harley	female	friends	1458
BC_1758_EMONTAGU_BS_2	Letter from Elizabeth Montagu to Benjamin Stillingfleet	1758	1750	Benjamin Stillingfleet, Esq.	#BS	Benjamin Stillingfleet	male	friends	1233
BC_1742_EMONTAGU_MB_3	Letter from Elizabeth Montagu to the Duchess of Portland	1742	1740	Margaret Cavendish Bentinck née Harley, 2nd Duchess of Portland	#MB	Margaret Cavendish Bentinck née Harley	female	friends	765
BC_17xx_EMONTAGU_EV_9	Letter from Elizabeth Montagu to Elizabeth Vesey			Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	170
BC_1760_EMONTAGU_SS_1	Letter from Elizabeth Montagu to Sarah Scott	1760	1750	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	424
BC_1763_EMONTAGU_EV_4	Letter from Elizabeth Montagu to Elizabeth Vesey	1763	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	833
BC_1762_EMONTAGU_EV_2	Letter from Elizabeth Montagu to Elizabeth Vesey	1762	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	258
